City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
198,Puerto Del Rosario,28.5004,-13.8627,73.15,49,0,8.05,ES,clear sky
199,Erzin,36.9559,36.2,75.02,33,4,1.86,TR,clear sky
200,New Norfolk,-42.7826,147.0587,73.92,39,100,5.99,AU,overcast clouds
201,Cairns,-16.9167,145.7667,76.95,83,75,1.14,AU,broken clouds
202,Mogadishu,2.0371,45.3438,89.47,74,40,11.5,SO,scattered clouds
203,Araouane,18.9048,-3.5265,74.43,21,0,13.71,ML,clear sky
204,Port Keats,-14.25,129.55,86.56,62,28,8.48,AU,scattered clouds
205,Victoria,22.2855,114.1577,78.19,73,97,11.99,HK,overcast clouds
206,Miranda,3.2499,-76.2281,64.53,91,100,3.42,CO,overcast clouds
207,Torbay,47.6666,-52.7314,45.37,61,40,19.57,CA,scattered clouds
208,Tari,12.4086,4.4914,89.98,27,37,5.99,NG,scattered clouds
209,Kungur,57.4368,56.9593,36.32,62,99,0.31,RU,overcast clouds
210,Kaitangata,-46.2817,169.8464,48.99,89,100,7.29,NZ,overcast clouds
211,Yellowknife,62.456,-114.3525,0.12,71,20,5.75,CA,few clouds
212,Adamov,49.3016,16.6525,48.27,44,20,10.36,CZ,few clouds
213,Karema,-6.8205,30.4389,77.74,69,68,7.74,TZ,broken clouds
214,Nowy Tomysl,52.3195,16.1284,46.26,47,99,4.76,PL,overcast clouds
215,High Level,58.5169,-117.136,14.11,79,100,14.97,CA,light snow
216,Batagay-Alyta,67.8006,130.4114,18.72,81,75,5.84,RU,broken clouds
217,Sioux Lookout,50.1001,-91.917,8.67,92,40,0.0,CA,scattered clouds
218,Zabol,32.25,67.25,79.48,15,100,15.99,AF,overcast clouds
219,Bolshoye Selo,57.7177,38.9334,39.18,49,6,10.42,RU,clear sky
220,Guane,22.2025,-84.0875,71.55,90,0,4.92,CU,clear sky
221,Toguchin,55.2353,84.3858,57.22,63,100,8.77,RU,overcast clouds
222,Shetpe,44.1667,52.1167,67.75,27,70,9.19,KZ,broken clouds
223,Flin Flon,54.7682,-101.865,18.36,91,100,3.18,CA,overcast clouds
224,Montague,42.5356,-72.5351,39.29,95,1,7.61,US,clear sky
225,Meulaboh,4.1363,96.1285,85.14,71,52,8.05,ID,broken clouds
226,Loa Janan,-0.583,117.095,89.2,57,80,1.68,ID,broken clouds
227,Saskylakh,71.9167,114.0833,26.73,93,100,20.07,RU,overcast clouds
228,Pavlovsk,50.4578,40.1081,53.89,75,99,11.23,RU,overcast clouds
229,Husavik,66.0449,-17.3389,41.4,85,62,10.8,IS,broken clouds
230,Daru,-9.0763,143.2092,81.7,81,95,8.57,PG,overcast clouds
231,Acurenam,1.0322,10.6488,76.32,83,94,0.49,GQ,overcast clouds
232,San Policarpo,12.1791,125.5072,83.1,71,42,9.42,PH,scattered clouds
233,Tonota,-21.4833,27.4833,60.78,94,100,10.85,BW,overcast clouds
234,Dingle,10.9995,122.6711,85.5,67,58,11.12,PH,broken clouds
235,Swan River,52.1058,-101.2676,13.89,85,100,1.14,CA,overcast clouds
236,Dongsheng,39.8161,109.9776,51.82,26,82,17.45,CN,broken clouds
237,Chokurdakh,70.6333,147.9167,3.16,95,16,5.01,RU,few clouds
238,Amazar,53.858,120.875,39.76,28,68,5.12,RU,broken clouds
239,Mount Gambier,-37.8333,140.7667,60.71,94,100,8.05,AU,light intensity shower rain
240,Srednekolymsk,67.45,153.6833,16.9,91,100,6.93,RU,overcast clouds
241,Vanimo,-2.6741,141.3028,82.58,76,36,4.41,PG,scattered clouds
242,Blythe,33.6103,-114.5964,70.03,36,0,1.66,US,clear sky
243,Tuatapere,-46.1333,167.6833,46.89,82,30,2.28,NZ,scattered clouds
244,San Carlos De Bariloche,-41.1456,-71.3082,44.35,65,20,8.05,AR,few clouds
245,Nelson Bay,-32.7167,152.15,72.0,79,50,13.11,AU,scattered clouds
246,Coihaique,-45.5752,-72.0662,33.75,100,0,0.0,CL,clear sky
247,Yaan,7.3833,8.5667,84.52,67,39,7.63,NG,scattered clouds
248,Emerald,-23.5333,148.1667,84.34,24,0,8.05,AU,clear sky
249,Strezhevoy,60.7333,77.5889,28.74,85,100,13.33,RU,overcast clouds
250,Bilma,18.6853,12.9164,88.05,7,42,12.82,NE,scattered clouds
251,Tagusao,9.1924,117.8141,83.68,74,95,8.23,PH,overcast clouds
252,Vaitape,-16.5167,-151.75,81.37,72,13,13.4,PF,few clouds
253,Kualakapuas,-3.0091,114.3876,90.21,55,100,2.77,ID,overcast clouds
254,Tupelo,34.2576,-88.7034,62.89,82,75,5.75,US,broken clouds
255,Pisco,-13.7,-76.2167,62.65,82,0,6.91,PE,clear sky
256,Nancha,47.1333,129.2667,46.8,34,100,8.1,CN,overcast clouds
257,Lasa,46.6166,10.7002,48.69,47,3,5.17,IT,clear sky
258,Saint-Joseph,-21.3667,55.6167,84.2,77,18,10.02,RE,few clouds
259,Cabinda,-5.55,12.2,78.94,89,20,5.75,AO,few clouds
260,Teahupoo,-17.8333,-149.2667,73.36,74,2,12.19,PF,clear sky
261,Norway,45.7869,-87.9037,26.94,69,8,1.99,US,clear sky
262,Petrivka,46.9695,30.9591,45.88,59,100,13.31,UA,overcast clouds
263,Leiyang,26.4024,112.8591,53.15,93,100,4.61,CN,overcast clouds
264,Makat,47.6469,53.3463,64.83,38,21,4.56,KZ,few clouds
265,Yeppoon,-23.1333,150.7333,76.78,70,0,11.27,AU,clear sky
266,Ossora,59.2353,163.0719,20.93,91,13,5.26,RU,few clouds
267,Christchurch,-43.5333,172.6333,57.9,78,75,11.5,NZ,broken clouds
268,Taoudenni,22.6783,-3.9836,74.73,29,0,14.52,ML,clear sky
269,Salinopolis,-0.6136,-47.3561,77.22,87,100,4.52,BR,overcast clouds
270,Lakatoro,-16.0999,167.4164,80.82,79,100,3.47,VU,light rain
271,Harnosand,62.6323,17.9379,46.4,78,39,3.2,SE,scattered clouds
272,Kieta,-6.2167,155.6333,79.36,84,100,1.68,PG,light rain
273,Labuhan,-6.8844,112.2051,85.53,71,67,9.17,ID,broken clouds
274,Ahipara,-35.1667,173.1667,62.94,88,100,16.64,NZ,overcast clouds
275,Lumby,50.2498,-118.969,37.04,60,100,2.3,CA,overcast clouds
276,Lalmohan,22.3384,90.7419,87.21,68,2,18.75,BD,clear sky
277,Perelyub,51.8667,50.3667,58.39,55,100,14.29,RU,overcast clouds
