City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Copiapo,CL,2022-04-13 09:44:13,-27.3667,-70.3333,57.04,77,0,1.07
235,Raudeberg,NO,2022-04-13 09:44:14,61.9875,5.1352,47.07,63,100,6.22
236,Tocopilla,CL,2022-04-13 09:44:14,-22.092,-70.1979,62.04,73,23,6.58
237,Sechura,PE,2022-04-13 09:44:14,-5.5569,-80.8222,68.79,80,66,12.01
238,Sinegorsk,RU,2022-04-13 09:44:15,47.1667,142.5,28.74,98,100,0.96
239,Mayor Pablo Lagerenza,PY,2022-04-13 09:44:15,-19.9309,-60.7718,72.16,98,93,3.47
240,Tuatapere,NZ,2022-04-13 09:44:16,-46.1333,167.6833,46.06,90,51,3.31
241,Roald,NO,2022-04-13 09:44:16,62.5833,6.1333,46.09,61,0,13.8
242,Touros,BR,2022-04-13 09:44:16,-5.1989,-35.4608,79.66,75,41,5.88
243,Fukue,JP,2022-04-13 09:44:17,32.6881,128.8419,62.96,88,0,12.66
244,General Roca,AR,2022-04-13 09:44:17,-39.0333,-67.5833,49.62,38,4,4.74
245,Kambove,CD,2022-04-13 09:44:18,-10.8764,26.5969,74.53,67,41,6.26
246,Bereznik,RU,2022-04-13 09:44:18,62.8551,42.7072,32.59,100,100,6.22
247,Bihoro,JP,2022-04-13 09:44:19,43.8228,144.1044,34.68,86,75,9.22
248,Bolobo,CD,2022-04-13 09:44:19,-2.1667,16.2333,90.52,50,24,2.71
249,The Pas,CA,2022-04-13 09:44:19,53.8251,-101.2541,15.82,73,100,11.5
250,Ezerelis,LT,2022-04-13 09:44:20,54.8833,23.6167,54.75,47,51,1.95
251,San Ignacio,BZ,2022-04-13 09:44:20,17.1561,-89.0714,73.54,88,0,0.0
252,Solnechnyy,RU,2022-04-13 09:44:21,50.7214,136.6319,21.88,95,99,2.77
253,Olafsvik,IS,2022-04-13 09:44:21,64.8945,-23.7142,38.53,67,100,8.48
254,Monrovia,LR,2022-04-13 09:44:22,6.3005,-10.7969,76.77,74,93,8.66
255,Avarua,CK,2022-04-13 09:44:22,-21.2078,-159.775,75.25,94,40,1.14
256,Pathein,MM,2022-04-13 09:44:22,16.7833,94.7333,90.81,47,11,16.58
257,Alofi,NU,2022-04-13 09:44:23,-19.0595,-169.9187,73.29,94,12,0.0
258,Fort Nelson,CA,2022-04-13 09:44:23,58.8053,-122.7002,2.79,72,0,2.3
259,Sao Joao Da Barra,BR,2022-04-13 09:42:17,-21.6403,-41.0511,73.49,87,100,8.28
260,Upington,ZA,2022-04-13 09:44:24,-28.4478,21.2561,79.18,36,0,2.3
261,Shelburne,CA,2022-04-13 09:44:24,44.0787,-80.2041,45.39,71,97,11.74
262,Beloha,MG,2022-04-13 09:44:25,-25.1667,45.05,92.1,30,48,7.56
263,Coihaique,CL,2022-04-13 09:44:25,-45.5752,-72.0662,50.61,81,40,2.3
264,Airai,TL,2022-04-13 09:44:25,-8.9266,125.4092,62.33,95,100,2.93
265,Kudahuvadhoo,MV,2022-04-13 09:44:26,2.6708,72.8944,84.88,74,60,15.86
266,Dikson,RU,2022-04-13 09:44:26,73.5069,80.5464,31.3,92,99,17.49
267,Taoudenni,ML,2022-04-13 09:44:27,22.6783,-3.9836,90.19,10,0,8.66
268,Gizel,RU,2022-04-13 09:44:27,43.04,44.5708,41.22,81,100,6.71
269,Te Anau,NZ,2022-04-13 09:44:29,-45.4167,167.7167,44.13,88,14,0.81
270,Soritor,PE,2022-04-13 09:44:29,-6.1392,-77.1039,65.19,98,78,1.7
271,Codrington,AU,2022-04-13 09:44:30,-38.2667,141.9667,55.2,92,0,7.65
272,Talnakh,RU,2022-04-13 09:44:30,69.4865,88.3972,33.21,99,100,7.99
273,Roebourne,AU,2022-04-13 09:44:31,-20.7833,117.1333,87.06,38,0,8.9
274,Souillac,MU,2022-04-13 09:44:31,-20.5167,57.5167,84.58,74,40,19.57
275,Vila Franca Do Campo,PT,2022-04-13 09:44:31,37.7167,-25.4333,59.41,85,100,20.22
276,Tateyama,JP,2022-04-13 09:45:32,34.9833,139.8667,70.11,93,90,13.53
277,Fallon,US,2022-04-13 09:41:46,39.4735,-118.7774,34.92,41,0,5.75
278,Ahipara,NZ,2022-04-13 09:45:34,-35.1667,173.1667,63.05,83,92,9.75
279,Mendi,PG,2022-04-13 09:45:35,-6.1761,143.6513,58.01,99,97,1.83
280,Sagua La Grande,CU,2022-04-13 09:45:35,22.8067,-80.0756,72.59,83,74,11.18
281,Maltahohe,NA,2022-04-13 09:45:36,-24.8333,16.9833,79.16,15,39,5.39
282,Porto Novo,BJ,2022-04-13 09:42:24,6.4965,2.6036,82.22,64,100,8.01
283,La Rioja,ES,2022-04-13 09:45:37,42.25,-2.5,49.78,61,95,7.23
284,Hithadhoo,MV,2022-04-13 09:45:38,-0.6,73.0833,84.25,70,15,13.4
285,Saint George,US,2022-04-13 09:45:38,37.1041,-113.5841,41.63,26,0,7.0
286,Cidreira,BR,2022-04-13 09:45:39,-30.1811,-50.2056,69.42,86,100,8.55
287,Lompoc,US,2022-04-13 09:45:40,34.6391,-120.4579,45.32,72,0,21.0
288,Moose Factory,CA,2022-04-13 09:45:40,51.2585,-80.6094,26.6,80,0,5.75
289,Tuy Hoa,VN,2022-04-13 09:41:55,13.0833,109.3,81.99,83,95,9.35
290,Hilton Head Island,US,2022-04-13 09:45:41,32.2163,-80.7526,66.97,92,0,0.0
291,Vaitape,PF,2022-04-13 09:45:43,-16.5167,-151.75,81.75,73,10,13.8
