City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,Soure,BR,76.1,light rain,-0.7167,-48.5233,Casarão da Amazônia
512,Coolum Beach,AU,73.11,light rain,-26.5333,153.1,Coolum Beach Resort
514,Amahai,ID,84.51,moderate rain,-3.3333,128.9167,HOTEL ISABELA
516,Alenquer,BR,72.61,overcast clouds,-1.9417,-54.7383,Detinha Hotel
517,Upata,VE,72.37,overcast clouds,8.0086,-62.3989,Posada Villa Nela
520,Maunatlala,BW,64.35,overcast clouds,-22.597,27.6301,MAUNATHLALA LODGE
523,Iralaya,HN,76.87,clear sky,15.0,-83.2333,Iglesia morava renovada
524,Axim,GH,78.24,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
525,Cepu,ID,87.66,overcast clouds,-7.1475,111.5906,OYO 673 Hotel Cepu Indah 1
526,Portobelo,PA,78.96,overcast clouds,9.55,-79.65,Scuba Portobelo
527,Kapit,MY,87.26,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
530,Gagra,GE,63.52,broken clouds,43.3283,40.2239,Hotel KORSHIKOFF
532,Nago,JP,69.46,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
533,Tsogni,GA,80.89,broken clouds,-2.7942,10.0988,
537,Mocuba,MZ,80.17,light rain,-16.8392,36.9856,Phama Lodge
539,Sao Joao Da Barra,BR,64.98,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
541,Tabuk,PH,81.77,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
543,Mbandaka,CD,82.44,overcast clouds,0.0487,18.2603,Guest House Epervier
544,Nibbar,TN,62.51,scattered clouds,36.2941,8.7666,
545,Dicabisagan,PH,80.71,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
546,Kalianget,ID,84.67,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
547,Sola,VU,82.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
549,Lasem,ID,86.02,scattered clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
552,Booue,GA,83.41,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
556,Uribia,CO,79.16,overcast clouds,11.7139,-72.266,Hotel Uribia
559,San Jose De Ocoa,DO,61.9,few clouds,18.55,-70.5,Hotel El Barcon
560,Broken Hill,AU,79.95,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
561,Hami,CN,66.69,clear sky,42.8,93.45,Laoyutang Resort
563,Mozarlandia,BR,67.33,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
565,Soyo,AO,81.1,overcast clouds,-6.1349,12.3689,Hotel Mpampa
569,Cabo San Lucas,MX,69.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
570,Morgan City,US,73.4,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
571,Pontian Kecil,MY,89.92,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
573,Faya,SA,81.12,clear sky,18.3851,42.4509,املاك خالد الشعشوع
576,Kontagora,NG,85.69,overcast clouds,10.3999,5.4695,Queens Guest Inn
580,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
581,Shumskiy,RU,68.25,overcast clouds,54.8318,99.1328,
582,Ha Tinh,VN,76.08,overcast clouds,18.3333,105.9,Phú Quý
584,Ginda,IN,82.22,clear sky,30.6945,78.4932,Sunil Bisht
586,Quartucciu,IT,64.27,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
590,Hecun,CN,70.38,overcast clouds,36.5333,114.1111,Yijia Hotel
592,Kisaran,ID,88.75,overcast clouds,2.9845,99.6158,Penginapan Batubara1
594,Luoyang,CN,71.44,overcast clouds,34.6836,112.4536,易家国际青年旅舍
595,Dustlik,UZ,85.5,broken clouds,40.5247,68.0358,
596,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
597,Padang,ID,89.65,broken clouds,-0.9492,100.3543,Mercure Padang
599,Maragogi,BR,76.8,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
600,Sambava,MG,83.28,few clouds,-14.2667,50.1667,Melrose
602,Waingapu,ID,85.28,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
610,Bathsheba,BB,77.5,scattered clouds,13.2167,-59.5167,Atlantis Hotel
612,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
613,Livingstone,ZM,68.4,overcast clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
614,Benxi,CN,70.12,broken clouds,41.2886,123.765,Yaju Business Hotel
615,Bartica,GY,73.72,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
616,Tadine,NC,77.41,clear sky,-21.55,167.8833,
619,Agadir,MA,72.05,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
623,Puerto Plata,DO,72.45,broken clouds,19.7934,-70.6884,Be Live Collection Marien
625,Sibu,MY,84.38,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
628,Bambanglipuro,ID,85.69,broken clouds,-7.95,110.2833,Puri Brata
629,Shalinskoye,RU,61.57,few clouds,55.7228,93.7594,Belaya Sova
630,Gazojak,TM,69.08,overcast clouds,41.1875,61.4036,
632,Harper,LR,75.56,overcast clouds,4.375,-7.7169,Screensaver
635,Kosonsoy,UZ,77.56,broken clouds,41.2561,71.5508,"Гостиница ""Goldstar'"
638,Namibe,AO,75.81,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
641,Kindu,CD,82.58,overcast clouds,-2.95,25.95,Résidence Okanda
645,Sao Raimundo Nonato,BR,69.46,few clouds,-9.0153,-42.6994,Real Hotel
646,Buala,SB,80.46,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
649,Qom,IR,68.18,clear sky,34.6401,50.8764,Qom Hotel
